idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
36,519,560,528,402,9,-158,158.25612152457168,93.26016063787488,2,523.5,481.0,-1,0.51123046875,0.8222222222222222
37,38,552,141,552,103,0,103.0,0.0,0,89.5,552.0,-1,0.08740234375,0.9435897435897436
38,361,426,662,426,301,0,301.0,0.0,0,511.5,426.0,-1,0.49951171875,0.7282051282051282
39,108,545,194,490,86,-55,102.08329931972223,147.39966642630975,2,151.0,517.5,-1,0.1474609375,0.8846153846153846
40,516,523,589,522,73,-1,73.00684899377592,179.21517539700812,0,552.5,522.5,-1,0.53955078125,0.8931623931623932
41,522,448,528,374,6,-74,74.24284477308234,94.63546342690265,2,525.0,411.0,-1,0.5126953125,0.7025641025641025
42,291,388,381,378,90,-10,90.55385138137417,173.65980825409008,0,336.0,383.0,-1,0.328125,0.6547008547008547
43,81,556,190,488,109,-68,128.47178678604885,148.04189052666197,2,135.5,522.0,-1,0.13232421875,0.8923076923076924
44,513,524,589,524,76,0,76.0,0.0,0,551.0,524.0,-1,0.5380859375,0.8957264957264958
45,771,438,893,524,122,86,149.26486525636233,35.180699361242105,1,832.0,481.0,-1,0.8125,0.8222222222222222
46,291,405,377,357,86,-48,98.48857801796105,150.8323866204222,2,334.0,381.0,-1,0.326171875,0.6512820512820513
47,14,556,108,506,94,-50,106.47065323364932,151.99082329198617,2,61.0,531.0,-1,0.0595703125,0.9076923076923077
48,514,354,677,351,163,-3,163.02760502442524,178.94559549647815,0,595.5,352.5,-1,0.58154296875,0.6025641025641025
49,448,421,575,423,127,2,127.01574705523721,0.902221161530156,0,511.5,422.0,-1,0.49951171875,0.7213675213675214
50,444,370,605,364,161,-6,161.11176245079065,177.8657412374977,0,524.5,367.0,-1,0.51220703125,0.6273504273504273
51,925,560,1019,560,94,0,94.0,0.0,0,972.0,560.0,-1,0.94921875,0.9572649572649573
52,271,315,302,424,31,109,113.3225485064645,74.12405349477743,1,286.5,369.5,-1,0.27978515625,0.6316239316239316
53,842,521,958,521,116,0,116.0,0.0,0,900.0,521.0,-1,0.87890625,0.8905982905982905
54,361,427,662,427,301,0,301.0,0.0,0,511.5,427.0,-1,0.49951171875,0.7299145299145299
55,386,357,508,351,122,-6,122.14745187681976,177.18444331578877,0,447.0,354.0,-1,0.4365234375,0.6051282051282051
56,845,493,962,578,117,85,144.61673485458036,35.998244877438694,1,903.5,535.5,-1,0.88232421875,0.9153846153846154
57,29,546,132,493,103,-53,115.83609109426992,152.77132082290876,2,80.5,519.5,-1,0.07861328125,0.888034188034188
58,654,348,838,482,184,134,227.62249449472256,36.06438615741825,1,746.0,415.0,-1,0.728515625,0.7094017094017094
59,511,351,615,358,104,7,104.23531071570709,3.850638823910754,0,563.0,354.5,-1,0.5498046875,0.6059829059829059
60,600,359,673,358,73,-1,73.00684899377592,179.21517539700812,0,636.5,358.5,-1,0.62158203125,0.6128205128205129
61,273,412,324,385,51,-27,57.706152185014034,152.10272896905238,2,298.5,398.5,-1,0.29150390625,0.6811965811965812
62,254,296,271,366,17,70,72.03471385380801,76.34958086524301,1,262.5,331.0,-1,0.25634765625,0.5658119658119658
63,486,421,637,421,151,0,151.0,0.0,0,561.5,421.0,-1,0.54833984375,0.7196581196581197
64,651,348,708,391,57,43,71.40028011149536,37.03038960567864,1,679.5,369.5,-1,0.66357421875,0.6316239316239316
65,362,365,429,365,67,0,67.0,0.0,0,395.5,365.0,-1,0.38623046875,0.6239316239316239
66,500,369,588,366,88,-3,88.05112151472007,178.0474909506004,0,544.0,367.5,-1,0.53125,0.6282051282051282
67,645,348,773,438,128,90,156.4736399525492,35.1120111844222,1,709.0,393.0,-1,0.6923828125,0.6717948717948717
